date,TSMC,ASML,AM,SUMCO
2021-01-01,3,1,0,0
2021-01-02,23,10,0,0
2021-01-03,54,17,0,1
2021-01-04,76,34,1,0
2021-01-05,72,98,6,1
2021-01-06,78,55,0,0
2021-01-07,57,64,1,0
2021-01-08,95,145,1,0
2021-01-09,65,16,0,0
2021-01-10,43,6,0,0
2021-01-11,86,88,5,0
2021-01-12,81,23,2,8
2021-01-13,196,26,1,0
2021-01-14,230,61,7,0
2021-01-15,149,86,12,0
2021-01-16,17,15,1,0
2021-01-17,32,7,4,0
2021-01-18,216,28,5,0
2021-01-19,108,34,1,0
2021-01-20,319,508,0,0
2021-01-21,324,179,13,0
2021-01-22,223,103,3,0
2021-01-23,86,55,0,0
2021-01-24,163,102,3,4
2021-01-25,234,114,4,0
2021-01-26,298,94,5,1
2021-01-27,337,94,11,0
2021-01-28,122,33,1,1
2021-01-29,133,67,13,0
2021-01-30,79,24,0,0
2021-01-31,127,36,1,0
2021-02-01,322,85,12,0
2021-02-02,79,131,0,3
2021-02-03,157,140,4,0
2021-02-04,79,137,1,1
2021-02-05,72,20,2,0
2021-02-06,98,20,6,0
2021-02-07,56,33,7,0
2021-02-08,409,60,2,2
2021-02-09,234,41,9,10
2021-02-10,104,67,0,0
2021-02-11,129,48,0,0
2021-02-12,96,33,1,1
2021-02-13,54,12,0,0
2021-02-14,18,34,0,0
2021-02-15,172,76,1,0
2021-02-16,259,113,2,0
2021-02-17,150,36,9,4
2021-02-18,124,94,5,0
2021-02-19,92,43,14,1
2021-02-20,106,19,0,2
2021-02-21,16,327,0,0
2021-02-22,95,232,2,1
2021-02-23,92,16,15,0
2021-02-24,135,63,3,0
2021-02-25,191,50,1,1
2021-02-26,167,43,2,2
2021-02-27,39,13,0,0
2021-02-28,85,14,0,0
2021-03-01,315,99,4,0
2021-03-02,159,37,1,0
2021-03-03,181,121,1,0
2021-03-04,266,182,28,4
2021-03-05,97,102,5,0
2021-03-06,180,88,1,2
2021-03-07,59,30,1,3
2021-03-08,136,117,9,0
2021-03-09,118,75,0,1
2021-03-10,168,194,3,0
2021-03-11,125,217,5,0
2021-03-12,71,64,12,3
2021-03-13,70,23,0,14
2021-03-14,198,69,0,0
2021-03-15,158,98,7,0
2021-03-16,205,92,2,0
2021-03-17,127,103,19,1
2021-03-18,153,51,1,0
2021-03-19,63,63,0,0
2021-03-20,43,26,8,0
2021-03-21,241,27,6,47
2021-03-22,17,95,2,0
2021-03-23,207,279,14,0
2021-03-24,471,93,9,13
2021-03-25,319,97,8,0
2021-03-26,122,45,19,1
2021-03-27,208,67,4,0
2021-03-28,67,14,4,0
2021-03-29,70,83,1,0
2021-03-30,194,112,29,0
2021-03-31,47,89,1,0
2021-04-01,383,160,7,0
2021-04-02,111,157,1,0
2021-04-03,70,32,4,0
2021-04-04,110,66,1,10
2021-04-05,100,23,1,2
2021-04-06,61,27,20,0
2021-04-07,85,16,3,4
2021-04-08,400,103,29,1
2021-04-09,160,119,1,1
2021-04-10,90,38,1,0
2021-04-11,121,36,13,3
2021-04-12,223,55,8,0
2021-04-13,168,37,5,1
2021-04-14,130,31,7,0
2021-04-15,244,97,7,0
2021-04-16,179,129,13,2
2021-04-17,43,78,2,0
2021-04-18,60,38,1,10
2021-04-19,428,100,13,1
2021-04-20,117,101,8,3
2021-04-21,126,239,11,7
2021-04-22,194,162,35,0
2021-04-23,374,74,9,2
2021-04-24,119,28,0,0
